filename,label
a_room_with_a_view_1900.txt,1900
a_sicilian_romance_1700.txt,1700
a_study_in_scarlet_1800.txt,1800
amelia_1700.txt,1700
antony_and_cleopatra_1600.txt,1600
armadale_1800.txt,1800
as_you_like_it_1600.txt,1600
barchester_towers_1800.txt,1800
bleak_house_1800.txt,1800
caleb_williams_1700.txt,1700
captain_singleton_1700.txt,1700
cecilia_1700.txt,1700
colonel_jack_1700.txt,1700
comedy_of_errors_1600.txt,1600
coriolanus_1600.txt,1600
david_copperfield_1800.txt,1800
doctor_faustus_1600.txt,1600
doctor_thorne_1800.txt,1800
dombey_and_son_1800.txt,1800
dr_jekyll_and_mr_hyde_1800.txt,1800
dracula_1800.txt,1800
evelina_1700.txt,1700
every_man_in_his_humour_1600.txt,1600
far_from_the_madding_crowd_1800.txt,1800
five_children_and_it_1900.txt,1900
framley_parsonage_1800.txt,1800
frankenstein_1800.txt,1800
great_expectations_1800.txt,1800
greenmantle_1900.txt,1900
gullivers_travels_1700.txt,1700
guy_mannering_1800.txt,1800
hamlet_1600.txt,1600
hard_times_1800.txt,1800
heart_of_midlothian_1800.txt,1800
henry_iv_part_1_1600.txt,1600
henry_iv_part_2_1600.txt,1600
hugh_trevor_1700.txt,1700
humphry_clinker_1700.txt,1700
ivanhoe_1800.txt,1800
jane_eyre_1800.txt,1800
joseph_andrews_1700.txt,1700
julius_caesar_1600.txt,1600
just_so_stories_1900.txt,1900
kidnapped_1800.txt,1800
king_lear_1600.txt,1600
lady_susan_1800.txt,1800
little_dorrit_1800.txt,1800
macbeth_1600.txt,1600
martin_eden_1900.txt,1900
mary_barton_1800.txt,1800
mayor_of_casterbridge_1800.txt,1800
merchant_of_venice_1600.txt,1600
merry_wives_of_windsor_1600.txt,1600
middlemarch_1800.txt,1800
midsummer_nights_dream_1600.txt,1600
moll_flanders_1700.txt,1700
much_ado_about_nothing_1600.txt,1600
mysteries_of_udolpho_1700.txt,1700
napoleon_of_notting_hill_1900.txt,1900
north_and_south_1800.txt,1800
northanger_abbey_1800.txt,1800
oliver_twist_1800.txt,1800
othello_1600.txt,1600
pamela_1700.txt,1700
paradise_lost_1600.txt,1600
peregrine_pickle_1700.txt,1700
persuasion_1800.txt,1800
pride_and_prejudice_1800.txt,1800
religio_medici_1600.txt,1600
richard_iii_1600.txt,1600
rob_roy_1800.txt,1800
robinson_crusoe_1700.txt,1700
roderick_random_1700.txt,1700
romeo_and_juliet_1600.txt,1600
roxana_1700.txt,1700
sentimental_journey_1700.txt,1700
she_stoops_to_conquer_1700.txt,1700
silas_marner_1800.txt,1800
sir_charles_grandison_1700.txt,1700
sons_and_lovers_1900.txt,1900
spanish_tragedy_1600.txt,1600
tamburlaine_part_2_1600.txt,1600
tenant_of_wildfell_hall_1800.txt,1800
the_alchemist_1600.txt,1600
the_antiquary_1800.txt,1800
the_castle_of_otranto_1700.txt,1700
the_cloister_and_the_hearth_1800.txt,1800
the_duchess_of_malfi_1600.txt,1600
the_enchanted_castle_1900.txt,1900
the_iron_heel_1900.txt,1900
the_italian_1700.txt,1700
the_jew_of_malta_1600.txt,1600
the_last_chronicle_of_barset_1800.txt,1800
the_lost_world_1900.txt,1900
the_man_of_feeling_1700.txt,1700
the_moonstone_1800.txt,1800
the_mysterious_affair_at_styles_1900.txt,1900
the_old_english_baron_1700.txt,1700
the_old_wives_tale_1900.txt,1900
the_phoenix_and_the_carpet_1900.txt,1900
the_pickwick_papers_1800.txt,1800
the_picture_of_dorian_gray_1800.txt,1800
the_pilgrims_progress_1600.txt,1600
the_return_of_sherlock_holmes_1900.txt,1900
the_rivals_1700.txt,1700
the_school_for_scandal_1700.txt,1700
the_sea_wolf_1900.txt,1900
the_secret_adversary_1900.txt,1900
the_secret_agent_1900.txt,1900
the_small_house_at_allington_1800.txt,1800
the_tempest_1600.txt,1600
the_thirty_nine_steps_1900.txt,1900
the_time_machine_1800.txt,1800
the_warden_1800.txt,1800
the_wind_in_the_willows_1900.txt,1900
the_winters_tale_1600.txt,1600
the_wisdom_of_father_brown_1900.txt,1900
this_side_of_paradise_1900.txt,1900
tom_jones_1700.txt,1700
treasure_island_1800.txt,1800
tristram_shandy_1700.txt,1700
twelfth_night_1600.txt,1600
volpone_1600.txt,1600
woman_in_white_1800.txt,1800
wuthering_heights_1800.txt,1800
